1777861252: Config loaded from /mosquitto/config/mosquitto.conf.
1777861252: Opening ipv4 listen socket on port 1883.
1777861252: Opening ipv6 listen socket on port 1883.
1777861252: mosquitto version 2.0.22 running
1777863053: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777864854: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777866655: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777868456: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777870257: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777872058: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777873859: Saving in-memory database to /mosquitto/data//mosquitto.db.
1777875660: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778956890: mosquitto version 2.0.22 starting
1778956890: Config loaded from /mosquitto/config/mosquitto.conf.
1778956890: Opening ipv4 listen socket on port 1883.
1778956890: Opening ipv6 listen socket on port 1883.
1778956890: mosquitto version 2.0.22 running
1778958690: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778960491: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778962292: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778964093: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778965894: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778967695: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778969496: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778971297: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778973098: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778974899: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778976700: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778978501: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778980302: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778982103: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778983904: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778985705: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778987506: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778989307: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778991108: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778992909: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778995191: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778996992: Saving in-memory database to /mosquitto/data//mosquitto.db.
1778998793: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779000594: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779002395: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779004196: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779005997: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779007798: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779009599: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779011693: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779013494: Saving in-memory database to /mosquitto/data//mosquitto.db.
1779015295: Saving in-memory database to /mosquitto/data//mosquitto.db.
